FID,LAYER,X,Y,Z
"253",cam,35126.303,167190.578,576.027
"254",cam,35135.649,167190.341,576.114
"255",cam,35146.264,167190.273,576.303
"256",cam,35156.558,167190.256,576.463
"257",cam,35164.211,167190.171,576.581
"258",cam,35169.651,167189.332,576.607
"259",cam,35175.810,167188.392,576.664
"260",cam,35181.617,167187.308,576.602
"261",cam,35191.020,167184.491,576.668
"262",cam,35191.403,167186.022,576.655
"263",cam,35186.507,167188.210,576.709
"264",cam,35182.323,167189.605,576.694
"265",cam,35175.924,167190.097,576.753
"266",cam,35171.521,167190.890,576.638
"267",cam,35169.661,167191.930,576.745
"268",cam,35169.196,167193.324,576.947
"269",cam,35169.688,167194.610,577.147
"270",cam,35171.357,167196.442,577.476
"271",cam,35173.025,167198.548,577.800
"272",cam,35174.405,167201.461,578.165
"273",cam,35171.588,167202.583,578.117
"274",cam,35169.729,167199.820,577.727
"275",cam,35167.349,167196.402,577.290
"276",cam,35165.187,167194.397,576.786
"277",cam,35163.020,167193.669,576.699
"278",cam,35160.531,167193.263,576.683
"279",cam,35157.128,167193.246,576.721
"280",cam,35152.878,167193.381,576.647
"281",cam,35146.225,167193.432,576.499
"282",cam,35140.011,167193.551,576.405
"283",cam,35135.745,167193.449,576.361
"284",cam,35129.988,167193.297,576.285
"285",cam,35122.031,167193.229,576.137
"286",cam,35116.410,167192.924,576.149
"287",cam,35109.925,167191.993,576.101
"288",cam,35106.070,167190.829,576.130
"289",cam,35102.938,167189.813,576.140
"290",cam,35098.739,167188.222,576.199
"291",cam,35094.304,167186.326,576.299
"292",cam,35088.750,167184.277,576.487
"293",cam,35083.211,167182.395,576.736
"294",cam,35077.827,167181.921,576.901
"295",cam,35074.883,167182.084,577.021
"296",cam,35073.312,167183.440,577.080
"297",cam,35072.157,167185.952,577.219
"298",cam,35070.522,167189.861,577.534
"299",cam,35068.098,167195.249,577.673
"300",cam,35066.032,167199.837,577.753
"301",cam,35063.967,167203.748,577.781
"302",cam,35061.681,167208.996,577.726
"303",cam,35059.322,167214.117,577.674
"304",cam,35056.499,167220.093,577.524
"305",cam,35058.999,167221.674,577.673
"306",cam,35063.587,167222.995,577.689
"307",cam,35062.370,167225.046,577.671
"308",cam,35057.887,167223.968,577.663
"309",cam,35055.906,167223.864,577.567
"310",cam,35054.620,167224.767,577.387
"311",cam,35051.491,167231.858,577.120
"312",cam,35048.050,167238.427,576.721
"313",cam,35043.845,167245.587,576.239
"314",cam,35041.307,167249.654,575.932
"315",cam,35039.209,167252.889,575.694
"316",cam,35036.568,167256.157,575.430
"317",cam,35034.604,167258.087,575.142
"318",cam,35035.383,167258.663,575.129
"319",cam,35038.532,167259.543,575.201
"320",cam,35037.635,167261.829,574.951
"321",cam,35034.960,167261.355,574.891
"322",cam,35033.131,167261.185,574.794
"323",cam,35031.133,167261.134,574.625
"324",cam,35028.306,167261.896,574.402
"325",cam,35024.158,167263.471,574.098
"326",cam,35020.696,167264.581,573.613
"327",cam,35016.412,167266.122,573.180
"328",cam,35011.570,167267.459,572.861
"329",cam,35007.337,167268.255,572.546
"330",cam,35003.917,167268.458,572.233
"331",cam,34997.839,167268.306,571.545
"332",cam,34992.608,167267.832,571.038
"333",cam,34987.025,167266.998,570.536
"334",cam,34981.320,167265.914,570.031
"335",cam,34977.222,167264.898,569.762
"336",cam,34971.872,167263.594,569.539
"337",cam,34968.300,167262.731,569.389
"338",cam,34965.151,167262.003,569.236
"339",cam,34961.985,167261.512,569.005
"340",cam,34959.630,167261.419,568.809
"341",cam,34957.764,167261.450,568.631
"342",cam,34955.186,167261.838,568.423
"343",cam,34952.377,167262.477,568.167
"344",cam,34950.165,167263.242,567.930
"345",cam,34947.576,167264.332,567.606
"346",cam,34944.484,167265.684,567.252
"347",cam,34941.193,167267.257,566.869
"348",cam,34937.346,167269.018,566.431
"349",cam,34933.422,167270.858,565.937
"350",cam,34931.011,167271.870,565.637
"351",cam,34927.632,167273.424,565.240
"352",cam,34925.034,167274.430,564.929
"353",cam,34922.766,167275.370,564.636
"354",cam,34919.421,167276.643,564.243
"355",cam,34916.157,167277.669,563.726
"356",cam,34912.094,167278.947,563.136
"357",cam,34908.338,167280.120,562.641
"358",cam,34899.943,167283.045,561.635
"359",cam,34891.291,167286.096,560.789
"360",cam,34881.883,167290.390,559.456
"361",cam,34875.484,167293.644,558.734
"362",cam,34870.972,167295.668,558.217
"363",cam,34865.967,167297.910,557.521
"364",cam,34861.006,167300.130,556.877
"365",cam,34856.773,167301.976,556.384
"366",cam,34849.251,167305.244,555.419
"367",cam,34843.443,167307.444,554.665
"368",cam,34839.465,167308.985,554.063
"369",cam,34837.822,167309.984,553.886
"370",cam,34836.773,167311.423,553.804
"371",cam,34836.148,167313.494,553.783
"372",cam,34835.828,167315.199,553.676
"373",cam,34835.748,167318.303,553.706
"374",cam,34835.641,167321.420,553.753
"375",cam,34835.322,167324.218,553.509
"376",cam,34835.308,167327.348,553.427
"377",cam,34835.189,167331.371,553.416
"378",cam,34834.975,167334.555,553.293
"379",cam,34834.829,167337.819,553.206
"380",cam,34834.789,167341.176,552.986
"381",cam,34834.789,167343.187,552.852
"382",cam,34832.271,167343.227,552.881
"383",cam,34832.538,167338.205,553.107
"384",cam,34832.471,167334.222,553.251
"385",cam,34832.618,167330.452,553.293
"386",cam,34832.777,167327.468,553.338
"387",cam,34832.711,167324.471,553.406
"388",cam,34832.831,167321.141,553.493
"389",cam,34832.977,167316.225,553.628
"390",cam,34833.310,167313.454,553.684
"391",cam,34833.417,167311.443,553.757
"392",cam,34833.896,167308.405,553.865
"393",cam,34834.044,167306.458,553.964
"394",cam,34834.497,167301.489,554.032
"395",cam,34835.296,167296.867,554.057
"396",cam,34835.869,167292.524,554.081
"397",cam,34835.669,167290.819,554.122
"398",cam,34835.155,167289.135,554.121
"399",cam,34833.970,167287.239,554.116
"400",cam,34832.057,167285.546,554.096
"401",cam,34829.162,167284.073,554.029
"402",cam,34822.440,167279.823,553.781
"403",cam,34823.591,167277.859,553.679
"404",cam,34832.311,167282.058,554.158
"405",cam,34834.529,167281.821,554.293
"406",cam,34835.782,167280.839,554.476
"407",cam,34837.627,167278.265,554.632
"408",cam,34838.239,167275.493,554.851
"409",cam,34838.776,167272.237,555.143
"410",cam,34839.608,167264.772,555.918
"411",cam,34840.725,167259.489,556.344
"412",cam,34841.843,167254.698,556.145
"413",cam,34843.950,167246.252,555.642
"414",cam,34845.068,167241.748,555.396
"415",cam,34846.340,167237.321,555.096
"416",cam,34847.430,167233.296,554.744
"417",cam,34848.573,167229.376,554.429
"418",cam,34849.621,167225.865,554.116
"419",cam,34850.575,167222.584,553.931
"420",cam,34851.633,167219.241,553.738
"421",cam,34852.870,167215.331,553.503
"422",cam,34854.055,167211.705,553.296
"423",cam,34855.673,167206.580,553.184
"424",cam,34857.631,167201.407,553.187
"425",cam,34858.688,167198.732,553.162
"426",cam,34860.060,167195.135,553.123
"427",cam,34861.259,167191.832,553.039
"428",cam,34862.312,167188.075,553.115
"429",cam,34863.364,167184.785,553.115
"430",cam,34864.470,167181.308,553.171
"431",cam,34865.948,167177.365,553.269
"432",cam,34868.666,167170.890,553.224
"433",cam,34870.584,167166.814,553.265
"434",cam,34872.716,167162.271,553.428
"435",cam,34874.914,167158.235,553.497
"436",cam,34877.804,167154.119,553.575
"437",cam,34881.921,167149.057,553.867
"438",cam,34885.424,167145.087,554.007
"439",cam,34887.129,167143.209,554.053
"440",cam,34890.566,167139.039,554.329
"441",cam,34893.044,167136.308,554.438
"442",cam,34896.481,167132.258,554.675
"443",cam,34899.172,167128.981,554.810
"444",cam,34901.210,167126.677,554.947
